,station,lon,lat
184,PAYA,-139.671,59.5121
185,EET,-86.78,33.18
186,8A0,-86.2558,34.2291
187,ALX,-85.963,32.9147
188,79J,-86.3938,31.3088
189,ANB,-85.8581,33.5882
190,AUO,-85.434,32.6151
191,AUB,-85.5,32.6
192,1R8,-87.8193,30.8703
193,EKY,-86.9263,33.3126
194,BHM,-86.7449,33.5655
195,OZR,-85.7134,31.2758
196,9A4,-87.3488,34.6594
197,CMD,-86.858,34.2687
198,3A1,-86.86,34.27
199,DCU,-86.9453,34.6525
200,DYA,-87.9541,32.4638
201,DHN,-85.45,31.32
202,EDN,-85.9048,31.2982
203,EUF,-85.1289,31.9513
204,GZH,-87.0441,31.4158
205,CQF,-87.877,30.4605
206,4R4,-87.877,30.4605
207,0J4,-86.3116,31.0425
208,NBJ,-87.6353,30.3891
209,4A9,-85.7214,34.4737
210,HEY,-85.6543,31.346
211,GAD,-86.0891,33.9726
212,PRN,-86.6108,31.8457
213,JKA,-87.6718,30.2905
214,1M4,-87.6004,34.2803
215,HDL,-85.3125,31.3641
216,0J6,-85.3117,31.3641
217,HSV,-86.7861,34.6439
218,MDQ,-86.56,34.86
219,LOR,-85.7511,31.3558
220,JFX,-87.3142,33.902
221,A08,-87.3848,32.5105
222,MXF,-86.3658,32.3829
223,MOB,-88.2456,30.6883
224,BFM,-88.0681,30.6268
225,MGM,-86.394,32.3006
226,MSL,-87.5996,34.7438
227,PLR,-86.2491,33.5588
228,RAM,-88.0833,29.05
229,1A9,-86.5127,32.4387
230,HUA,-86.6848,34.6786
231,4A6,-86.0059,34.6887
232,SEM,-86.9878,32.3439
233,SXS,-85.8549,31.3612
234,SCD,-86.3055,33.1718
235,ASN,-86.0512,33.5695
236,TOI,-86.0121,31.8604
237,TCL,-87.6161,33.2119
238,ADF,-93.0661,34.0998
239,M89,-93.0661,34.0998
240,BVX,-91.6472,35.7261
241,SUZ,-92.4794,34.5904
242,VBT,-94.2194,36.3457
243,HKA,-89.83,35.94
244,CDH,-92.7634,33.6228
245,CCA,-92.4516,35.5978
246,CXW,-92.5551,35.0199
247,4M9,-90.6479,36.4042
248,BYH,-89.9439,35.9643
249,ELD,-92.8133,33.221
250,FYV,-94.1701,36.0051
251,FLP,-92.5902,36.2909
252,FSM,-94.3674,35.3366
253,HRO,-93.1547,36.2615
254,HOT,-93.0962,34.478
255,DEQ,-94.3994,34.047
256,JBR,-90.6464,35.8317
257,LIT,-92.2357,34.7273
258,LRF,-92.1465,34.9168
259,AGO,-93.217,33.228
260,MEZ,-94.2026,34.5454
261,LLQ,-91.75,33.64
262,BPK,-92.47,36.37
263,MWT,-93.5781,34.5467
264,M19,-91.1764,35.6377
265,ORK,-92.2541,34.8331
266,LZK,-92.2594,34.835
267,XNA,-94.307,36.282
268,PBF,-91.9347,34.175
269,ROG,-94.107,36.3724
270,RUE,-93.0947,35.2578
271,SRC,-91.74,35.21
272,SLG,-94.49,36.1919
273,ASG,-94.1193,36.1764
274,SGT,-91.575,34.5995
275,TXK,-93.991,33.4537
276,ARG,-90.9251,36.1247
277,AWM,-90.2344,35.1351
278,BXK,-112.6862,33.4204
279,IFP,-114.5595,35.1574
280,CGZ,-111.7668,32.9549
281,CHD,-111.81,33.27
282,AZC,-113.0139,36.9599
283,P08,-111.4265,32.936
284,DMA,-110.883,32.166
285,DVT,-112.0826,33.6883
286,DUG,-109.6037,31.469
287,FLG,-111.6722,35.1403
288,FHU,-110.3442,31.5883
289,GBN,-112.72,32.8875
290,GXF,-112.7199,32.8875
291,GEU,-112.2951,33.5269
292,GYR,-112.3736,33.4224
293,GCN,-112.1547,35.9461
294,40G,-112.15,35.65
295,IGM,-113.933,35.2577
296,LGF,-114.3967,32.86
297,HII,-114.3583,34.5711
298,LUF,-112.383,33.535
299,A39,-111.9185,32.9908
300,FFZ,-111.7283,33.4608
301,OLS,-110.8458,31.4208
302,PGA,-111.4484,36.9261
303,PAN,-111.3393,34.2568
304,PHX,-112.0116,33.4343
305,MZJ,-111.3279,32.51
306,ALK,-110.4281,31.6072
307,PRC,-112.42,34.65
308,SAD,-109.6353,32.8547
309,SDL,-111.9105,33.6229
310,SEZ,-111.7884,34.8486
311,SOW,-110.0057,34.2655
312,JTC,-109.3109,34.1294
313,SJN,-109.38,34.52
314,TYL,-110.1118,34.4577
315,TUS,-110.938,32.1203
316,AVQ,-111.2184,32.4096
317,RYN,-111.1746,32.1422
318,NOZ,-114.4673,32.5095
319,CMR,-112.1947,35.3054
320,IWA,-111.6555,33.3078
321,RQE,-109.0614,35.6575
322,INW,-110.7225,35.0219
323,YUM,-114.606,32.6566
324,NYL,-114.606,32.6566
325,AAT,-120.5644,41.4914
326,ACV,-124.1086,40.9781
327,AUN,-121.0817,38.9548
328,AVX,-118.4158,33.405
329,BFL,-119.0542,35.4344
330,DAG,-116.7858,34.8536
331,BAB,-121.4366,39.1361
332,BUO,-116.9667,33.9333
333,BYS,-116.63,35.2805
334,L35,-116.856,34.2638
335,BIH,-118.3636,37.3731
336,BLU,-120.7098,39.275
337,BLH,-114.7169,33.6192
338,L08,-116.321,33.259
339,BUR,-118.3587,34.2007
340,C83,-121.6244,37.8276
341,CCB,-117.6874,34.1116
342,CMA,-119.0944,34.2138
343,CZZ,-116.4683,32.6261
344,NXF,-117.4565,33.2856
345,NFG,-117.3552,33.3011
346,CRQ,-117.28,33.13
347,O05,-121.2412,40.2824
348,CIC,-121.8584,39.7954
349,NID,-117.692,35.6855
350,CNO,-117.6361,33.9753
351,O22,-120.4146,38.0304
352,CCR,-122.0526,37.9916
353,AJO,-117.6024,33.8977
354,CEC,-124.238,41.7837
355,DLO,-119.2365,35.7456
356,EDW,-117.8837,34.9054
357,9L2,-117.8631,34.9908
358,NJK,-115.6717,32.8292
359,EMT,-118.035,34.086
360,NZJ,-117.731,33.676
361,EKA,-124.1603,40.8097
362,L18,-117.2509,33.3542
363,OAR,-121.7617,36.6815
364,FOT,-124.1327,40.5539
365,FAT,-119.7194,36.78
366,FCH,-119.8203,36.7321
367,FUL,-117.98,33.87
368,GOO,-121.0031,39.224
369,HAF,-122.4996,37.5136
370,HJO,-119.6232,36.3114
371,HHR,-118.3352,33.9228
372,HWD,-122.1212,37.6588
373,HMT,-117.022,33.734
374,CVH,-121.4103,36.8933
375,IPL,-115.5787,32.8342
376,NRS,-117.11,32.5631
377,IYK,-117.8295,35.6587
378,JAQ,-120.7943,38.3742
379,WJF,-118.2186,34.7411
380,POC,-117.7818,34.0916
381,WHP,-118.4134,34.2593
382,NLC,-119.9521,36.333
383,LHM,-121.3513,38.9092
384,LVK,-121.8149,37.6931
385,LPC,-120.4675,34.6656
386,LGB,-118.1472,33.8118
387,SLI,-118.052,33.79
388,CQT,-118.2912,34.0235
389,LAX,-118.3865,33.9382
390,MAE,-120.1107,36.9849
391,MMH,-118.8388,37.6241
392,RIV,-117.25,33.9
393,MYV,-121.5688,39.102
394,MHR,-121.2972,38.5553
395,MCE,-120.5179,37.286
396,MER,-120.5682,37.3805
397,NKX,-117.1366,32.8645
398,MOD,-120.9544,37.6258
399,NUQ,-122.049,37.4059
400,MHV,-118.152,35.059
401,SIY,-122.4682,41.7737
402,MRY,-121.8488,36.5904
403,MHS,-122.3171,41.3149
404,MWS,-118.0667,34.2333
405,F70,-117.1285,33.5742
406,APC,-122.2804,38.2075
407,EED,-114.6233,34.7664
408,3A6,-118.5667,34.3667
409,NZY,-117.2098,32.6922
410,DVO,-122.5561,38.1436
411,OAK,-122.2207,37.7213
412,L52,-120.6224,35.1015
413,OKB,-117.35,33.22
414,ONT,-117.6012,34.056
415,OVE,-121.62,39.49
416,OXR,-119.2072,34.2008
417,GXA,-117.6704,34.5666
418,PMD,-118.0846,34.6294
419,PSP,-116.5067,33.8297
420,PAO,-122.1151,37.4611
421,PRB,-120.6291,35.6694
422,O69,-122.6053,38.2578
423,PVF,-120.7533,38.7242
424,PTV,-119.0627,36.0296
425,NTD,-119.12,34.12
426,87Q,-121.2847,35.6656
427,RNM,-116.9152,33.0392
428,RBL,-122.2536,40.1519
429,RDD,-122.2934,40.509
430,O32,-119.451,36.671
431,RAL,-117.4451,33.9519
432,SAC,-121.495,38.5069
433,MCC,-121.4006,38.667
434,SMF,-121.5908,38.6954
435,SNS,-121.6093,36.6635
436,CPU,-120.6482,38.1461
437,SBD,-117.2349,34.0954
438,SQL,-122.2483,37.5119
439,NUC,-118.5885,33.0228
440,SDB,-118.7253,34.7434
441,SDM,-116.98,32.57
442,SEE,-116.9724,32.8262
443,SAN,-117.1845,32.7339
444,MYF,-117.1396,32.8157
445,SFO,-122.3749,37.619
446,SJC,-121.9244,37.3594
447,RHV,-121.82,37.33
448,SBP,-120.6441,35.2381
449,E16,-121.5968,37.0816
450,NSI,-119.4582,33.2398
451,SNA,-117.8682,33.6757
452,SBA,-119.8436,34.4261
453,SMX,-120.45,34.9
454,SMO,-118.4471,34.021
455,STS,-122.811,38.5037
456,IZA,-120.0756,34.6068
457,O87,-124.0667,40.0167
458,TVL,-119.9953,38.8939
459,SCK,-121.2383,37.8942
460,SVE,-120.5727,40.3757
461,TSP,-118.4392,35.135
462,TRM,-116.1597,33.6267
463,TOA,-118.3396,33.8034
464,TCY,-121.4416,37.6889
465,SUU,-121.9275,38.2627
466,O86,-122.6937,40.9828
467,TRK,-120.1396,39.32
468,NXP,-116.1622,34.2962
469,UKI,-123.2008,39.1258
470,EDU,-121.7865,38.5315
471,BAN,-119.52,38.3636
472,VCB,-121.9575,38.3775
473,VBG,-120.5768,34.7297
474,XVW,-120.5783,34.7275
475,VNY,-118.4892,34.2097
476,VCV,-117.383,34.5975
477,VIS,-119.3929,36.3187
478,WVI,-121.79,36.9394
479,O54,-122.9223,40.7473
480,DWA,-121.8569,38.5794
481,AFF,-104.8128,38.9697
482,AKO,-103.222,40.1756
483,ALS,-105.8614,37.4389
484,ASE,-106.8689,39.2232
485,0CO,-105.7639,39.7939
486,BDU,-105.2258,40.0394
487,BJC,-105.1172,39.9088
488,BKF,-104.7517,39.7017
489,AEJ,-106.1207,38.8142
490,ITR,-102.2854,39.2425
491,1V6,-105.1058,38.428
492,CWN,-104.85,38.75
493,CFO,-104.5376,39.7841
494,COS,-104.7008,38.8058
495,CRV,-105.589,40.055
496,CEZ,-108.6281,37.303
497,7BM,-106.2181,38.7825
498,CAG,-107.5216,40.4952
499,C99,-105.5533,39.8689
500,RCV,-106.352,37.7138
501,AJZ,-108.0636,38.7864
502,APA,-104.85,39.57
503,DEN,-104.6575,39.8328
504,DRO,-107.7538,37.1515
505,EGE,-106.9177,39.6426
506,ABH,-104.3083,38.7578
507,EIK,-105.048,40.0102
508,FCS,-104.7566,38.6784
509,FNL,-105.0113,40.4518
510,FMM,-103.8041,40.334
511,FTG,-104.5431,39.7852
512,GNB,-105.9113,40.0904
513,GJT,-108.54,39.1342
514,GXY,-104.6332,40.4374
515,GUC,-106.933,38.5339
516,HDN,-107.22,40.48
517,HEQ,-102.2727,40.5694
518,20V,-106.369,40.0537
519,LHX,-103.5122,38.0494
520,LAA,-102.6881,38.07
521,VTP,-105.1668,37.5007
522,LXV,-106.3161,39.2281
523,LIC,-103.6659,39.2748
524,LMO,-105.163,40.1637
525,FLY,-104.5699,38.9457
526,EEO,-107.8859,40.0488
527,MYP,-106.3168,38.484
528,MTJ,-107.8975,38.505
529,MNH,-104.6422,39.2231
530,3MW,-106.75,40.45
531,AIB,-108.5633,38.2388
532,PSO,-107.056,37.2862
533,PUB,-104.4983,38.29
534,4V0,-108.7593,40.0956
535,1NW,-103.8371,40.6319
536,CCU,-106.153,39.475
537,RIL,-107.7269,39.5263
538,04V,-106.17,38.1
539,ANK,-106.0486,38.5383
540,SHM,-104.5167,38.8
541,SPD,-102.6139,37.2833
542,SBS,-106.8663,40.5162
543,STK,-103.2648,40.6153
544,5SM,-107.379,39.426
545,TEX,-107.9085,37.9538
546,TAD,-104.3407,37.2594
547,33V,-106.2715,40.7503
548,4V1,-104.7881,37.6941
549,C07,-106.6992,40.3544
550,4BM,-105.514,39.05
551,CPW,-106.8,37.45
552,2V5,-102.241,40.1003
553,2V6,-102.7128,40.1046
554,BDR,-73.1289,41.1583
555,SNC,-72.5059,41.3839
556,DXR,-73.48,41.37
557,GON,-72.05,41.33
558,BDL,-72.6825,41.9381
559,HFD,-72.6494,41.7367
560,MMK,-72.83,41.51
561,HVN,-72.8868,41.2638
562,OXC,-73.1354,41.4741
563,IJD,-72.1836,41.7419
564,33N,-75.6005,39.2187
565,DOV,-75.466,39.1295
566,GED,-75.3589,38.6892
567,ILG,-75.6008,39.6728
568,AAF,-85.0274,29.7276
569,BOW,-81.7834,27.9434
570,BCT,-80.11,26.38
571,BKV,-82.4554,28.4736
572,FIN,-81.2087,29.4657
573,XMR,-80.5668,28.4677
574,VSH,-85.598,30.7799
575,NFJ,-86.9597,30.5069
576,CLW,-82.7563,27.9742
577,2IS,-81.0468,26.7339
578,CEW,-86.52,30.78
579,CTY,-83.1048,29.6355
580,CGC,-82.5713,28.8673
581,DAB,-81.0581,29.1799
582,54J,-86.1538,30.7311
583,DED,-81.2838,29.067
