,station,lon,lat
192,PAKK,-161.1543,64.9395
193,PAKU,-149.5975,70.3308
194,PFKW,-161.4437,60.7903
195,PALH,-149.9651,61.1786
196,PAML,-150.6441,64.9976
197,PAMB,-159.05,58.9833
198,PADM,-162.0261,61.8643
199,PAMX,-142.9333,61.4333
200,PAMC,-155.607,62.9528
201,PAIN,-148.9106,63.7326
202,PAMY,-166.27,60.37
203,PAMR,-149.8573,61.2163
204,PAER,-153.82,61.25
205,PAMM,-131.5762,55.1308
206,PAMD,-146.338,59.432
207,PAMH,-152.3019,63.886
208,PAMO,-163.6819,62.0953
209,PABN,-142.9953,62.4017
210,PANA,-161.9785,60.6903
211,PAOU,-161.16,56.01
212,PANN,-149.074,64.5473
213,PANW,-157.33,59.45
214,PAFS,-154.36,63.02
215,PAWN,-162.975,67.5661
216,PAOM,-165.4452,64.5122
217,PFNO,-161.0222,66.8175
218,PAOR,-141.9292,62.9614
219,PFNU,-150.2535,70.4954
220,PAQT,-151.0056,70.21
221,PPNU,-150.0186,70.4141
222,PPIT,-162.4406,60.906
223,PAAQ,-149.0887,61.5949
224,PAXK,-145.5006,63.0246
225,PAPG,-132.9501,56.7999
226,PAPN,-157.57,57.58
227,PAPM,-161.82,59.01
228,PAPO,-166.8,68.35
229,PPIZ,-163.0053,69.7329
230,PAAD,-146.2901,70.136
231,PATO,-148.8389,60.785
232,PAAP,-134.6482,56.2468
233,PALJ,-154.319,60.204
234,PAPC,-166.8585,65.2537
235,PAPH,-158.6334,56.9591
236,PAPR,-150.6436,66.8141
237,PAPT,-152.75,62.1
238,PAQH,-161.8454,59.7551
239,PADG,-162.8992,68.0321
240,PARD,-162.9031,68.0314
241,PARY,-155.47,64.73
242,PARS,-161.3194,61.7749
243,PASM,-163.3018,62.0608
244,PASN,-170.2222,57.1553
245,PASD,-160.5214,55.3137
246,PASA,-170.4926,63.6864
247,PACM,-165.5738,61.8445
248,PASK,-159.9858,66.6001
249,PASO,-151.704,59.4424
250,PAWD,-149.4186,60.1269
251,PAHX,-159.5692,62.6923
252,PFSH,-161.224,64.3711
253,PASP,-147.5044,61.8122
254,PASY,174.1169,52.7141
255,PASH,-166.0894,66.2496
256,PAGH,-157.1624,66.8881
257,PASI,-135.3616,57.0471
258,PAGY,-135.3157,59.4601
259,PASW,-151.1914,61.9653
260,PADT,-143.9811,62.7089
261,PASL,-157.15,61.7167
262,PALK,-142.6667,62.0333
263,PASX,-151.0342,60.4758
264,PFWS,-157.0026,58.7021
265,PASV,-155.5748,61.0972
266,PAPB,-169.6631,56.5769
267,PAMK,-162.11,63.49
268,PAJV,-148.8833,61.7167
269,PATK,-150.095,62.32
270,PATA,-152.1069,65.1744
271,PATL,-155.9765,62.8944
272,PATE,-166.3393,65.2404
273,PATC,-167.9225,65.564
274,PATG,-160.3969,59.0536
275,PAOO,-165.0872,60.5413
276,PAUM,-152.135,69.3711
277,PAUN,-160.7991,63.8885
278,PAVW,-146.35,61.1333
279,PAVD,-146.248,61.134
280,PAFB,-147.6144,64.8375
281,PAWI,-159.9948,70.638
282,PAIW,-168.0949,65.6226
283,PAWS,-149.5406,61.5719
284,PAWM,-163.4128,64.6892
285,PAWR,-148.722,60.777
286,PAUO,-150.0517,61.7542
287,PAWG,-132.3698,56.4843
288,PAYA,-139.671,59.5121
289,LATI,19.7165,41.4185
290,CXAF,-112.9667,54.2833
291,CXAG,-112.2792,53.9169
292,CXAJ,-112.825,54.7817
293,CWZG,-115.5522,51.1933
294,CXBW,-112.3,49.8
295,CPBT,-113.05,49.5667
296,CXBA,-110.1014,52.1242
297,CWXL,-111.4503,49.7342
298,CPXL,-111.3833,49.8667
299,CWXA,-115.0667,51.0833
300,CXBR,-113.8167,49.6167
301,CWBO,-111.8489,50.5553
302,CYYC,-114.0203,51.1139
303,CWFJ,-113.2858,49.2006
304,CXCP,-113.35,50.2833
305,CWDK,-113.6386,50.0036
306,CXCD,-119.745,56.3144
307,CYOD,-110.2783,54.4072
308,CXCS,-110.7131,51.9369
309,CWCT,-111.4667,52.0667
310,CWRT,-114.4819,49.6275
311,CXDP,-113.95,54.3167
312,CXDB,-112.8167,49.05
313,CWDZ,-112.6767,51.4453
314,CYXD,-113.5194,53.5719
315,CXEG,-113.6058,53.3067
316,CYEG,-113.5797,53.3097
317,CXEC,-113.5167,53.5731
318,CYED,-113.4726,53.6679
319,CZVL,-113.8544,53.6675
320,CYET,-116.465,53.5789
321,CZZJ,-116.4533,53.5803
322,CPEH,-112.4333,50.1833
323,CWGY,-110.2061,51.6697
324,CXFR,-118.4394,56.0814
325,CPFI,-112.0333,49.8
326,CXFM,-111.4833,49.4833
327,CYPY,-111.1167,58.7667
328,CYMM,-111.2219,56.6533
